Sen,Rand,Paul,R,SenRandPaul
Rep,Mike,Quigley,D,RepMikeQuigley
Rep,Ben,Quayle,R,benquayle
Rep,George,Radanovich,R,RepRadanovich
Rep,Charles,Rangel,D,cbrangel
Sen,Harry,Reid,D,SenatorReid
Rep,Silvestre,Reyes,D,silvestrereyes
Sen,Pat,Roberts,R,senpatroberts
Rep,Dana,Rohrabacher,R,DanaRohrabacher
Rep,Ileana,Ros-Lehtinen,R,RosLehtinen
Rep,Edward,Royce,R,RepEdRoyce
Rep,Paul,Ryan,R,reppaulryan
Rep,Dennis,Rehberg,R,DennyRehberg
Rep,Mike,Ross,D,RepMikeRoss
Rep,Michael,Rogers,R,RepMikeRogersAL
Rep,Timothy,Ryan,D,timryan
Rep,David,Reichert,R,davereichert
Rep,Peter,Roskam,R,PeterRoskam
Rep,Laura,Richardson,D,replrichardson
Rep,David,Roe,R,DrPhilRoe
Rep,Tom,Rooney,R,TomRooney
Sen,James,Risch,R,jamesrisch
Rep,Thomas,Reed,R,tomreedcongress
Rep,Jim,Renacci,R,repjimrenacci
Rep,Reid,Ribble,R,RepRibble
Rep,Scott,Rigell,R,repscottrigell
Rep,David,Rivera,R,RepRivera
Rep,Martha,Roby,R,martharoby
Rep,Todd,Rokita,R,ToddRokita
Rep,Dennis,Ross,R,RepDennisRoss
Rep,Loretta,Sanchez,D,lorettasanchez
Sen,Bernard,Sanders,I,senatorsanders
Sen,Charles,Schumer,D,chuckschumer
Rep,Robert,Scott,D,repbobbyscott
Rep,Jose,Serrano,D,repjoseserrano
Rep,Peter,Sessions,R,petesessions
Rep,John,Shadegg,R,RepJohnShadegg
Rep,Brad,Sherman,D,BradSherman
Rep,John,Shimkus,R,RepShimkus
Rep,Ike,Skelton,D,ikeskelton
Rep,Louise,Slaughter,D,louiseslaughter
Rep,Adam,Smith,D,Rep_Adam_Smith
Rep,Lamar,Smith,R,LamarSmithTX21
Sen,Olympia,Snowe,R,SenatorSnowe
Sen,Debbie,Stabenow,D,StabenowPress
Rep,Clifford,Stearns,R,RepCliffStearns
